,name,cik,year,number,character_count,word_count,important_words,frequent_words
0,0001193125-11-171858,1193125,11,171858,496933,75511,"['zero', 'either', 'effort', 'effici', 'effects', 'effectiveness', 'effect', 'education', 'economy', 'econom', 'earnings', 'earn', 'earliest', 'earlier', 'earli']","[('the', 602), ('valu', 552), ('tax', 523), ('$', 460), ('0.0', 458), ('fair', 439), ('asset', 392), ('includ', 375), ('amount', 364), ('price', 339), ('share', 338), ('cash', 328), ('incom', 313), ('stock', 303), ('net', 288)]"
1,0001193125-12-085703,1193125,12,85703,893171,132480,"['zyvox', 'caption', 'declaratori', 'declar', 'decision', 'decis', 'decim', 'decept', 'december31', 'december30', 'december12', 'december1', 'decemb', 'dec', 'debt']","[('the', 1176), ('tax', 1052), ('asset', 836), ('includ', 736), ('amount', 694), ('valu', 625), ('benefit', 589), ('cost', 583), ('plan', 548), ('incom', 539), ('In', 530), ('fair', 515), ('oper', 497), ('u.s.', 486), ('relat', 468)]"
2,0001193125-15-353476,1193125,15,353476,224005,33855,"['yuan', 'drawdown', 'disclosure', 'disclosures', 'discontinu', 'discount', 'discounts', 'discret', 'discuss', 'discussion', 'dispers', 'dispos', 'distribut', 'distributions', 'distributor']","[('the', 351), ('amount', 329), ('asset', 243), ('tax', 215), ('compani', 210), ('includ', 209), ('valu', 196), ('fiscal', 185), ('period', 174), ('benefit', 163), ('fair', 144), ('share', 142), ('plan', 141), ('incom', 141), ('year', 140)]"
3,0001047469-13-000940,1047469,13,940,929024,138508,"['zero', 'deconsolid', 'default', 'deem', 'deduct', 'decrement', 'decreases', 'decrease', 'decreas', 'deconsolidation', 'deconsolidated', 'declin', 'denied', 'declar', 'decision']","[('valu', 1216), ('the', 1170), ('net', 969), ('fair', 955), ('amount', 949), ('includ', 806), ('asset', 801), ('invest', 786), ('incom', 722), ('loss', 692), ('secur', 623), ('interest', 598), ('tax', 588), ('cash', 577), ('benefit', 571)]"
4,0001043277-14-000004,1043277,14,4,137466,20681,"['zero', 'entiti', 'elected', 'election', 'electrical', 'electron', 'element', 'elig', 'elimin', 'employ', 'employe', 'employee', 'employees', 'employment', 'enact']","[('amount', 245), ('the', 203), ('share', 191), ('stock', 159), ('tax', 149), ('asset', 139), ('valu', 127), ('incom', 114), ('includ', 112), ('expens', 96), ('use', 96), ('period', 93), ('financi', 89), ('oper', 88), ('cash', 87)]"
5,0000038777-16-000609,38777,16,609,224222,33806,"['york', 'employe', 'effort', 'either', 'elect', 'elected', 'election', 'element', 'elig', 'elimin', 'eliminated', 'emerg', 'employ', 'employee', 'court']","[('amount', 352), ('valu', 344), ('the', 326), ('fair', 311), ('asset', 258), ('tax', 250), ('invest', 236), ('use', 224), ('incom', 214), ('includ', 207), ('financi', 185), ('cash', 170), ('compani', 160), ('equiti', 159), ('secur', 151)]"
6,0001326801-16-000043,1326801,16,43,176721,26710,"['york', 'dure', 'discount', 'discounts', 'discoveri', 'discuss', 'dismiss', 'display', 'dispos', 'distribut', 'distribution', 'district', 'divid', 'dividend', 'dividends']","[('tax', 262), ('amount', 252), ('asset', 213), ('incom', 164), ('the', 162), ('valu', 148), ('includ', 143), (',', 139), ('share', 138), ('stock', 133), ('year', 130), ('report', 128), ('use', 126), ('period', 123), ('leas', 122)]"
7,0000922864-19-000007,922864,19,7,264033,39870,"['zero', 'discontinu', 'earn', 'earnings', 'earthquake', 'econom', 'effect', 'effects', 'effort', 'eight', 'either', 'elapsed', 'elect', 'elected', 'election']","[('amount', 306), ('tax', 297), ('incom', 262), ('includ', 261), ('oper', 249), ('the', 244), ('partnership', 233), ('asset', 226), ('consolid', 223), ('interest', 221), ('real', 214), ('unit', 203), ('share', 201), ('stock', 189), ('cash', 183)]"
8,0001031296-10-000011,1031296,10,11,0,0,0,0
9,0000950123-10-018097,950123,10,18097,0,0,0,0
