,count
0,75511
1,132480
2,33855
3,138508
4,20681
5,33806
6,26710
7,39870
8,0
9,0
10,55430
11,44179
12,45
13,48078
14,75817
15,19439
16,33921
17,32927
18,71793
19,43232
20,18128
21,0
22,263362
23,109399
24,38640
25,60176
26,49807
27,34645
28,58075
29,44841
30,11445
31,156137
32,0
33,56874
34,0
35,2
36,29718
37,42525
38,96127
39,69397
40,35672
41,55021
42,66700
43,73049
44,35333
45,0
46,30762
47,36884
48,54235
49,25969
50,34286
51,34543
52,48801
53,76882
54,183982
55,68047
56,0
57,57295
58,51927
59,49210
60,33268
61,47333
62,0
63,71536
64,13
65,71839
66,0
67,68262
68,1
69,61521
70,60899
71,0
72,58190
73,37147
74,40444
75,49484
76,0
77,116743
78,45555
79,0
80,18423
81,48814
82,0
83,76099
84,0
85,99529
86,45911
87,25968
88,74559
89,31820
90,20023
91,41392
92,73945
93,66562
94,58493
95,62728
96,28215
97,0
98,41719
99,9
100,125687
101,27014
102,53208
103,53032
104,79721
105,75142
106,72576
107,52558
108,80561
109,35295
110,44567
111,124485
112,43567
113,68945
114,34746
115,52417
116,63872
117,34414
118,149456
119,31926
120,77988
121,68092
122,18951
123,4
124,35477
125,32784
126,34460
127,33143
128,28287
129,36693
130,4
131,54489
132,79462
133,47962
134,43010
135,40214
136,34081
137,41199
138,1
139,50406
140,30864
141,46202
142,38177
143,55791
144,32918
145,7
146,48249
147,40374
148,66721
149,38528
150,68452
151,121432
152,37973
153,100291
154,78330
155,47266
156,32065
157,53488
158,76215
159,0
160,92638
161,55038
162,23415
163,42811
164,0
165,36702
166,43775
167,43927
168,41942
169,58859
170,37348
171,46992
172,26998
173,54686
174,126753
175,81526
176,148073
177,67502
178,47922
179,0
180,46108
181,155423
182,67664
183,85006
184,0
185,45436
186,43207
187,0
188,77779
189,46857
190,43165
191,40324
192,21522
193,55300
194,50285
195,81669
196,25003
197,58513
198,72080
199,58085
200,28328
201,29976
202,0
203,51738
204,42658
205,44239
206,0
207,28502
208,95355
209,39934
210,465610
211,51980
212,40200
213,66675
214,33398
215,40036
216,0
217,33636
218,54720
219,38138
220,0
221,0
222,127670
223,27592
224,61805
225,62095
226,43679
227,220791
228,0
229,46528
230,40897
231,74709
232,96885
233,0
234,29435
235,32678
236,0
237,31835
238,55812
239,34579
240,77738
241,47450
242,29421
243,78517
244,89750
245,43598
246,46538
247,1
248,48697
249,56638
250,97328
251,51133
252,46138
253,38744
254,0
255,42403
256,38679
257,35043
258,49611
259,50935
260,0
261,27443
262,42935
263,0
264,41852
265,46146
266,32473
267,61291
268,60060
269,55372
270,131507
271,30962
272,44766
273,32333
274,42023
275,33569
276,61619
277,58777
278,0
279,38062
280,65954
281,34613
282,32590
283,107407
284,43947
285,69260
286,87957
287,37960
288,0
289,24460
290,0
291,139994
292,74175
293,102669
294,63018
295,51401
296,97708
297,35644
298,38464
299,95581
300,57180
301,52713
302,0
303,71833
304,0
305,69524
306,39964
307,0
308,36825
309,48282
310,45892
311,0
312,38242
313,66258
314,0
315,152774
316,58201
317,46628
318,27315
319,35454
320,1
321,37703
322,42533
323,134340
324,103411
325,20295
326,42343
327,44272
